date,total_transactions,total_volume,average_transaction_amount,unique_customers,unique_merchants,fraud_transactions,fraud_rate
2025-03-10,13,3530.15,271.55,12,13,1,0.07692307692307693
2025-03-11,14,1914.8200000000002,136.77285714285716,13,14,4,0.2857142857142857
2025-03-12,19,3920.63,206.34894736842105,19,17,6,0.3157894736842105
2025-03-13,13,2075.2599999999998,159.6353846153846,13,13,5,0.38461538461538464
2025-03-14,16,2635.03,164.689375,14,16,0,0.0
2025-03-15,9,2576.1099999999997,286.2344444444444,9,9,1,0.1111111111111111
2025-03-16,6,382.45,63.74166666666667,6,6,2,0.3333333333333333
2025-03-17,6,505.50000000000006,84.25000000000001,6,6,1,0.16666666666666666
2025-03-18,11,2227.18,202.4709090909091,11,10,1,0.09090909090909091
2025-03-19,14,1250.56,89.32571428571428,13,14,5,0.35714285714285715
2025-03-20,21,2947.7199999999993,140.36761904761903,21,20,5,0.23809523809523808
2025-03-21,10,2211.36,221.13600000000002,10,9,1,0.1
2025-03-22,12,1561.4,130.11666666666667,12,12,2,0.16666666666666666
2025-03-23,15,1390.4299999999996,92.69533333333331,15,13,4,0.26666666666666666
2025-03-24,9,1702.3000000000002,189.14444444444447,9,9,1,0.1111111111111111
2025-03-25,19,3751.0699999999997,197.42473684210526,19,19,0,0.0
2025-03-26,20,3315.04,165.752,20,20,4,0.2
2025-03-27,8,837.3,104.6625,8,8,2,0.25
2025-03-28,13,2330.8100000000004,179.29307692307697,13,12,1,0.07692307692307693
2025-03-29,24,2547.52,106.14666666666666,24,22,3,0.125
2025-03-30,12,1377.01,114.75083333333333,12,12,2,0.16666666666666666
2025-03-31,21,3130.9300000000003,149.09190476190477,21,18,4,0.19047619047619047
2025-04-01,13,2208.33,169.87153846153845,13,12,4,0.3076923076923077
2025-04-02,14,3731.2499999999995,266.5178571428571,14,14,5,0.35714285714285715
2025-04-03,8,3399.05,424.88125,8,8,0,0.0
2025-04-04,9,1113.5,123.72222222222223,9,8,1,0.1111111111111111
2025-04-05,17,1989.74,117.04352941176471,17,17,1,0.058823529411764705
2025-04-06,10,843.5600000000001,84.35600000000001,10,10,3,0.3
2025-04-07,13,3019.7099999999996,232.28538461538457,13,12,3,0.23076923076923078
2025-04-08,19,4433.37,233.33526315789473,19,19,4,0.21052631578947367
2025-04-09,10,2617.0699999999997,261.707,10,10,0,0.0
2025-04-10,14,3480.29,248.59214285714285,13,14,4,0.2857142857142857
2025-04-11,10,2219.1400000000003,221.91400000000004,10,10,3,0.3
2025-04-12,14,1776.01,126.85785714285714,14,14,2,0.14285714285714285
2025-04-13,10,1077.39,107.739,10,10,3,0.3
2025-04-14,14,1571.0700000000002,112.21928571428573,13,14,2,0.14285714285714285
2025-04-15,18,2538.58,141.03222222222223,18,17,4,0.2222222222222222
2025-04-16,17,4973.2699999999995,292.545294117647,17,16,6,0.35294117647058826
2025-04-17,19,1864.3600000000001,98.12421052631579,19,17,3,0.15789473684210525
2025-04-18,18,2369.18,131.6211111111111,18,17,3,0.16666666666666666
2025-04-19,10,1304.27,130.427,10,10,1,0.1
2025-04-20,6,998.8400000000001,166.47333333333336,5,6,0,0.0
2025-04-21,11,2710.25,246.38636363636363,11,11,0,0.0
2025-04-22,7,1016.7,145.24285714285716,7,7,1,0.14285714285714285
2025-04-23,12,1788.77,149.06416666666667,12,11,2,0.16666666666666666
2025-04-24,11,1627.3899999999999,147.94454545454545,10,11,3,0.2727272727272727
2025-04-25,13,2530.3300000000004,194.64076923076925,13,13,3,0.23076923076923078
2025-04-26,15,1851.35,123.42333333333333,14,15,2,0.13333333333333333
2025-04-27,15,3007.67,200.51133333333334,14,15,0,0.0
2025-04-28,6,800.63,133.43833333333333,6,6,3,0.5
2025-04-29,13,2920.0699999999993,224.62076923076918,12,13,2,0.15384615384615385
2025-04-30,11,1265.2599999999998,115.02363636363634,10,11,2,0.18181818181818182
2025-05-01,11,2174.0400000000004,197.64000000000004,11,11,2,0.18181818181818182
2025-05-02,12,1986.5099999999998,165.5425,12,11,1,0.08333333333333333
2025-05-03,11,4123.04,374.8218181818182,11,10,0,0.0
2025-05-04,17,2482.4,146.0235294117647,17,15,2,0.11764705882352941
2025-05-05,16,2736.97,171.060625,16,15,2,0.125
2025-05-06,12,1928.7,160.725,12,12,1,0.08333333333333333
2025-05-07,17,2471.4999999999995,145.38235294117644,17,17,2,0.11764705882352941
2025-05-08,17,1992.8100000000002,117.22411764705883,17,15,2,0.11764705882352941
2025-05-09,18,3360.81,186.71166666666667,17,18,3,0.16666666666666666
2025-05-10,16,2024.21,126.513125,16,16,3,0.1875
2025-05-11,19,4127.02,217.21157894736845,19,19,2,0.10526315789473684
2025-05-12,19,2410.08,126.84631578947368,19,18,0,0.0
2025-05-13,11,3420.33,310.9390909090909,11,11,0,0.0
2025-05-14,8,938.82,117.3525,8,8,3,0.375
2025-05-15,11,986.04,89.64,11,11,1,0.09090909090909091
2025-05-16,12,1481.0699999999997,123.42249999999997,11,12,0,0.0
2025-05-17,17,3274.16,192.59764705882353,17,17,2,0.11764705882352941
2025-05-18,10,2540.21,254.02100000000002,10,10,2,0.2
2025-05-19,14,2137.28,152.66285714285715,14,14,4,0.2857142857142857
2025-05-20,13,1461.72,112.44,13,13,5,0.38461538461538464
2025-05-21,14,1290.62,92.18714285714285,14,14,4,0.2857142857142857
2025-05-22,9,719.48,79.94222222222223,9,9,1,0.1111111111111111
2025-05-23,18,2521.0,140.05555555555554,18,17,1,0.05555555555555555
2025-05-24,7,607.53,86.78999999999999,7,7,0,0.0
2025-05-25,12,1239.25,103.27083333333333,12,12,3,0.25
2025-05-26,10,1750.58,175.058,10,10,2,0.2
2025-05-27,14,1807.25,129.08928571428572,14,13,1,0.07142857142857142
2025-05-28,18,2560.58,142.25444444444443,18,17,1,0.05555555555555555
2025-05-29,12,2369.7,197.475,12,11,3,0.25
2025-05-30,14,2640.32,188.59428571428572,14,14,4,0.2857142857142857
2025-05-31,14,2422.6299999999997,173.045,14,13,4,0.2857142857142857
2025-06-01,6,807.24,134.54,6,6,2,0.3333333333333333
2025-06-02,14,1487.1299999999999,106.22357142857142,14,13,2,0.14285714285714285
2025-06-03,10,1101.8,110.17999999999999,10,10,0,0.0
2025-06-04,11,1467.71,133.42818181818183,11,11,1,0.09090909090909091
2025-06-05,17,2139.23,125.83705882352942,17,17,1,0.058823529411764705
2025-06-06,14,2585.2800000000007,184.66285714285718,14,14,3,0.21428571428571427
2025-06-07,10,2117.33,211.733,10,10,0,0.0
2025-06-08,14,1252.0399999999997,89.43142857142855,14,14,2,0.14285714285714285
2025-06-09,16,2874.01,179.625625,16,15,4,0.25
2025-06-10,11,1341.6700000000003,121.97000000000003,11,11,0,0.0
2025-06-11,14,1895.2000000000003,135.3714285714286,14,14,1,0.07142857142857142
2025-06-12,9,4032.32,448.03555555555556,9,9,3,0.3333333333333333
2025-06-13,14,3842.8999999999996,274.49285714285713,14,14,3,0.21428571428571427
2025-06-14,12,6306.09,525.5075,12,11,1,0.08333333333333333
2025-06-15,16,2523.72,157.7325,16,13,4,0.25
2025-06-16,15,2566.4599999999996,171.0973333333333,15,14,5,0.3333333333333333
2025-06-17,8,1655.78,206.9725,8,8,0,0.0
2025-06-18,12,1444.8599999999997,120.40499999999997,12,12,1,0.08333333333333333
2025-06-19,11,1187.86,107.98727272727272,11,11,0,0.0
2025-06-20,10,1457.25,145.725,10,10,2,0.2
2025-06-21,12,2863.3999999999996,238.61666666666665,12,11,1,0.08333333333333333
2025-06-22,15,2943.58,196.23866666666666,15,15,1,0.06666666666666667
2025-06-23,13,1731.8700000000001,133.22076923076924,13,12,2,0.15384615384615385
2025-06-24,10,880.0000000000001,88.00000000000001,9,10,1,0.1
2025-06-25,16,4304.0199999999995,269.00124999999997,16,14,0,0.0
2025-06-26,11,1986.6300000000003,180.6027272727273,11,10,2,0.18181818181818182
2025-06-27,15,2591.77,172.78466666666665,15,15,2,0.13333333333333333
2025-06-28,12,1904.4499999999998,158.70416666666665,12,12,1,0.08333333333333333
2025-06-29,13,1752.6299999999999,134.8176923076923,13,12,3,0.23076923076923078
2025-06-30,18,1745.6900000000003,96.9827777777778,17,18,2,0.1111111111111111
2025-07-01,10,2121.9,212.19,10,10,2,0.2
2025-07-02,15,5017.48,334.4986666666666,15,15,3,0.2
2025-07-03,14,2837.5299999999997,202.68071428571426,14,13,0,0.0
2025-07-04,14,2606.4000000000005,186.1714285714286,14,13,3,0.21428571428571427
2025-07-05,21,2136.5,101.73809523809524,20,19,2,0.09523809523809523
2025-07-06,16,1763.5900000000001,110.22437500000001,16,15,3,0.1875
2025-07-07,12,2802.88,233.57333333333335,12,11,2,0.16666666666666666
2025-07-08,13,1757.75,135.21153846153845,13,13,2,0.15384615384615385
2025-07-09,14,2220.2400000000002,158.58857142857144,14,13,3,0.21428571428571427
2025-07-10,17,4363.64,256.68470588235294,17,15,2,0.11764705882352941
2025-07-11,14,1816.3,129.7357142857143,14,13,4,0.2857142857142857
2025-07-12,14,3000.2099999999996,214.30071428571426,13,14,3,0.21428571428571427
2025-07-13,13,2537.8,195.21538461538464,13,12,5,0.38461538461538464
2025-07-14,21,4400.549999999999,209.54999999999995,20,21,4,0.19047619047619047
2025-07-15,11,3410.32,310.02909090909094,11,11,2,0.18181818181818182
2025-07-16,12,2660.17,221.68083333333334,11,12,3,0.25
2025-07-17,11,1498.19,136.19909090909093,11,10,2,0.18181818181818182
2025-07-18,9,2411.64,267.96,9,9,1,0.1111111111111111
2025-07-19,11,1317.58,119.77999999999999,11,11,3,0.2727272727272727
2025-07-20,12,3292.88,274.4066666666667,12,12,2,0.16666666666666666
2025-07-21,12,2917.2499999999995,243.10416666666663,12,12,1,0.08333333333333333
2025-07-22,8,2565.0,320.625,8,8,0,0.0
2025-07-23,19,4572.560000000001,240.66105263157903,18,18,1,0.05263157894736842
2025-07-24,11,1035.2,94.10909090909091,11,10,2,0.18181818181818182
2025-07-25,14,2407.5799999999995,171.96999999999997,14,12,2,0.14285714285714285
2025-07-26,15,3179.4500000000003,211.96333333333334,15,13,4,0.26666666666666666
2025-07-27,7,1520.49,217.21285714285713,7,7,1,0.14285714285714285
2025-07-28,9,3208.3100000000004,356.47888888888895,9,9,4,0.4444444444444444
2025-07-29,12,2761.5899999999997,230.13249999999996,12,12,2,0.16666666666666666
2025-07-30,12,2433.48,202.79,12,11,3,0.25
2025-07-31,9,2372.28,263.5866666666667,9,9,3,0.3333333333333333
2025-08-01,17,2627.29,154.54647058823528,17,16,1,0.058823529411764705
2025-08-02,14,1598.74,114.19571428571429,13,14,2,0.14285714285714285
2025-08-03,23,4761.8,207.03478260869565,22,21,4,0.17391304347826086
2025-08-04,13,2651.55,203.96538461538464,11,13,2,0.15384615384615385
2025-08-05,13,4006.5099999999993,308.1930769230769,13,12,1,0.07692307692307693
2025-08-06,10,1632.6200000000001,163.262,10,10,1,0.1
2025-08-07,13,1513.4,116.41538461538462,13,11,2,0.15384615384615385
2025-08-08,17,3609.82,212.34235294117647,17,17,0,0.0
2025-08-09,13,1382.95,106.38076923076923,12,13,2,0.15384615384615385
2025-08-10,9,1059.3400000000001,117.70444444444446,9,9,3,0.3333333333333333
2025-08-11,18,2244.0600000000004,124.67000000000002,18,18,1,0.05555555555555555
2025-08-12,19,2544.93,133.9436842105263,18,15,3,0.15789473684210525
2025-08-13,12,1608.3000000000002,134.025,10,12,1,0.08333333333333333
2025-08-14,9,1811.71,201.3011111111111,9,9,2,0.2222222222222222
2025-08-15,11,1188.6599999999999,108.05999999999999,11,11,1,0.09090909090909091
2025-08-16,17,1847.78,108.69294117647058,17,17,6,0.35294117647058826
2025-08-17,18,4856.85,269.82500000000005,16,18,3,0.16666666666666666
2025-08-18,11,1244.0900000000001,113.09909090909092,11,11,2,0.18181818181818182
2025-08-19,11,713.09,64.82636363636364,11,11,1,0.09090909090909091
2025-08-20,18,2486.5,138.13888888888889,18,16,1,0.05555555555555555
2025-08-21,8,1088.56,136.07,8,8,2,0.25
2025-08-22,9,965.0799999999999,107.2311111111111,9,8,2,0.2222222222222222
2025-08-23,12,2392.04,199.33666666666667,12,11,0,0.0
2025-08-24,6,876.6500000000001,146.10833333333335,6,6,1,0.16666666666666666
2025-08-25,16,1592.2200000000003,99.51375000000002,15,15,0,0.0
2025-08-26,16,2732.83,170.801875,16,16,3,0.1875
2025-08-27,13,3198.9599999999996,246.07384615384612,12,12,1,0.07692307692307693
2025-08-28,13,1599.77,123.05923076923077,13,12,3,0.23076923076923078
2025-08-29,16,4122.01,257.625625,16,16,0,0.0
2025-08-30,16,3021.3500000000004,188.83437500000002,16,16,1,0.0625
2025-08-31,10,1156.95,115.69500000000001,9,10,2,0.2
2025-09-01,8,2616.58,327.0725,8,8,2,0.25
2025-09-02,16,3087.0299999999997,192.93937499999998,16,15,2,0.125
2025-09-03,20,3079.7900000000004,153.98950000000002,20,19,5,0.25
2025-09-04,13,1239.2399999999998,95.32615384615383,12,13,3,0.23076923076923078
2025-09-05,14,2955.45,211.10357142857143,14,14,1,0.07142857142857142
2025-09-06,19,4669.700000000001,245.77368421052634,19,18,3,0.15789473684210525
2025-09-07,12,1410.0200000000002,117.50166666666668,12,11,1,0.08333333333333333
2025-09-08,7,2338.76,334.10857142857145,7,7,1,0.14285714285714285
2025-09-09,17,2210.1299999999997,130.00764705882352,16,17,2,0.11764705882352941
2025-09-10,13,3583.31,275.6392307692308,13,13,3,0.23076923076923078
2025-09-11,17,2758.7,162.27647058823527,16,17,5,0.29411764705882354
2025-09-12,19,3298.73,173.61736842105265,19,19,7,0.3684210526315789
2025-09-13,11,2758.95,250.81363636363633,11,11,2,0.18181818181818182
2025-09-14,16,2167.1000000000004,135.44375000000002,16,15,2,0.125
2025-09-15,10,1443.2000000000003,144.32000000000002,10,10,2,0.2
2025-09-16,16,2337.56,146.0975,15,15,3,0.1875
2025-09-17,8,391.55999999999995,48.94499999999999,8,8,2,0.25
2025-09-18,15,3417.0800000000004,227.80533333333335,15,14,2,0.13333333333333333
2025-09-19,10,1450.9299999999998,145.093,10,10,2,0.2
2025-09-20,21,2299.17,109.48428571428572,21,19,3,0.14285714285714285
2025-09-21,8,2189.9700000000003,273.74625000000003,8,8,1,0.125
2025-09-22,10,3575.8999999999996,357.59,10,9,5,0.5
2025-09-23,14,2361.5499999999997,168.68214285714285,14,13,2,0.14285714285714285
2025-09-24,17,1090.62,64.15411764705881,16,17,2,0.11764705882352941
2025-09-25,12,1964.8200000000002,163.735,12,12,2,0.16666666666666666
2025-09-26,10,925.44,92.54400000000001,10,10,1,0.1
2025-09-27,13,1935.85,148.91153846153844,13,13,2,0.15384615384615385
2025-09-28,15,1358.6599999999999,90.57733333333333,15,15,3,0.2
2025-09-29,10,900.81,90.08099999999999,10,10,3,0.3
2025-09-30,20,2036.1100000000004,101.80550000000002,20,17,7,0.35
2025-10-01,19,2976.44,156.65473684210528,18,19,4,0.21052631578947367
2025-10-02,15,1421.32,94.75466666666667,15,14,2,0.13333333333333333
2025-10-03,18,2185.6,121.42222222222222,18,17,8,0.4444444444444444
2025-10-04,8,699.79,87.47375,8,8,3,0.375
2025-10-05,15,3711.1000000000004,247.4066666666667,15,15,0,0.0
2025-10-06,14,1054.61,75.3292857142857,14,13,0,0.0
2025-10-07,13,4220.5199999999995,324.6553846153846,13,12,0,0.0
2025-10-08,12,3572.9499999999994,297.7458333333333,12,12,2,0.16666666666666666
2025-10-09,18,1958.7199999999998,108.81777777777776,18,18,1,0.05555555555555555
2025-10-10,11,1870.71,170.06454545454545,11,11,2,0.18181818181818182
2025-10-11,9,1188.4799999999998,132.0533333333333,9,9,2,0.2222222222222222
2025-10-12,16,3881.49,242.593125,16,15,3,0.1875
2025-10-13,12,1496.44,124.70333333333333,12,11,0,0.0
2025-10-14,12,2799.38,233.28166666666667,12,11,3,0.25
2025-10-15,16,3937.03,246.064375,16,16,7,0.4375
2025-10-16,18,2536.29,140.905,18,18,2,0.1111111111111111
2025-10-17,14,2363.75,168.83928571428572,13,14,1,0.07142857142857142
2025-10-18,18,3325.76,184.76444444444445,18,17,3,0.16666666666666666
2025-10-19,19,3214.65,169.1921052631579,18,19,3,0.15789473684210525
2025-10-20,18,3978.87,221.04833333333332,17,17,6,0.3333333333333333
2025-10-21,8,743.68,92.96,8,8,2,0.25
2025-10-22,10,1886.6400000000003,188.66400000000004,10,10,2,0.2
2025-10-23,15,2172.1299999999997,144.80866666666665,15,14,4,0.26666666666666666
2025-10-24,13,2355.61,181.20076923076925,13,13,2,0.15384615384615385
2025-10-25,9,989.05,109.89444444444445,9,9,1,0.1111111111111111
2025-10-26,16,3599.41,224.963125,15,16,5,0.3125
2025-10-27,12,1999.74,166.645,12,12,0,0.0
2025-10-28,10,986.1099999999999,98.61099999999999,9,9,0,0.0
2025-10-29,13,3389.45,260.7269230769231,13,12,2,0.15384615384615385
2025-10-30,11,2794.2400000000002,254.0218181818182,11,11,1,0.09090909090909091
2025-10-31,19,3886.26,204.54000000000002,18,17,5,0.2631578947368421
2025-11-01,9,1622.2700000000002,180.25222222222226,9,8,1,0.1111111111111111
2025-11-02,12,1631.4800000000002,135.95666666666668,12,11,1,0.08333333333333333
2025-11-03,10,2298.57,229.85700000000003,9,10,3,0.3
2025-11-04,13,2696.2499999999995,207.40384615384613,13,13,2,0.15384615384615385
2025-11-05,15,2499.7799999999997,166.652,15,15,2,0.13333333333333333
2025-11-06,13,2515.47,193.4976923076923,13,12,3,0.23076923076923078
2025-11-07,18,4449.22,247.1788888888889,16,16,5,0.2777777777777778
2025-11-08,19,4898.070000000001,257.79315789473685,19,18,3,0.15789473684210525
2025-11-09,16,4224.19,264.011875,16,15,3,0.1875
2025-11-10,14,1849.6100000000001,132.115,14,13,5,0.35714285714285715
2025-11-11,14,2433.24,173.80285714285714,14,14,1,0.07142857142857142
2025-11-12,14,3184.45,227.46071428571426,13,14,5,0.35714285714285715
2025-11-13,18,2775.9,154.21666666666667,18,17,4,0.2222222222222222
2025-11-14,20,3576.34,178.817,20,19,4,0.2
2025-11-15,16,3659.7799999999997,228.73624999999998,16,14,2,0.125
2025-11-16,14,1174.3899999999999,83.88499999999999,14,14,3,0.21428571428571427
2025-11-17,12,2948.0999999999995,245.67499999999995,12,12,0,0.0
2025-11-18,13,2006.39,154.33769230769232,13,12,3,0.23076923076923078
2025-11-19,13,1380.18,106.1676923076923,13,12,2,0.15384615384615385
2025-11-20,14,2473.92,176.70857142857145,14,14,2,0.14285714285714285
2025-11-21,9,2387.2000000000003,265.24444444444447,9,9,2,0.2222222222222222
2025-11-22,19,4021.77,211.6721052631579,19,19,2,0.10526315789473684
2025-11-23,14,1300.81,92.91499999999999,14,13,1,0.07142857142857142
2025-11-24,12,2881.5000000000005,240.12500000000003,12,11,2,0.16666666666666666
2025-11-25,13,3583.85,275.6807692307692,13,12,2,0.15384615384615385
2025-11-26,16,3264.5599999999995,204.03499999999997,16,16,1,0.0625
2025-11-27,19,4749.48,249.97263157894736,18,18,2,0.10526315789473684
2025-11-28,9,1780.0400000000002,197.78222222222223,9,9,0,0.0
2025-11-29,10,1626.4999999999998,162.64999999999998,10,10,1,0.1
2025-11-30,18,2803.79,155.76611111111112,17,18,1,0.05555555555555555
2025-12-01,15,2674.68,178.31199999999998,15,15,3,0.2
2025-12-02,18,4323.31,240.1838888888889,17,17,0,0.0
2025-12-03,17,3616.9100000000003,212.7594117647059,16,16,3,0.17647058823529413
2025-12-04,15,1755.51,117.034,15,15,1,0.06666666666666667
2025-12-05,18,2134.97,118.60944444444443,18,17,3,0.16666666666666666
2025-12-06,19,2470.85,130.04473684210527,18,18,3,0.15789473684210525
2025-12-07,15,2624.1,174.94,14,14,4,0.26666666666666666
2025-12-08,11,942.4,85.67272727272727,11,11,2,0.18181818181818182
2025-12-09,12,1221.97,101.83083333333333,12,11,1,0.08333333333333333
2025-12-10,16,2426.4800000000005,151.65500000000003,16,16,4,0.25
2025-12-11,13,2990.0600000000004,230.00461538461542,13,13,3,0.23076923076923078
2025-12-12,17,3343.35,196.66764705882352,16,15,7,0.4117647058823529
2025-12-13,14,2785.5,198.96428571428572,14,13,3,0.21428571428571427
2025-12-14,15,5135.35,342.3566666666667,15,14,2,0.13333333333333333
2025-12-15,15,1244.6100000000001,82.974,15,14,2,0.13333333333333333
2025-12-16,11,2182.83,198.4390909090909,11,11,2,0.18181818181818182
2025-12-17,13,1323.76,101.8276923076923,12,13,2,0.15384615384615385
2025-12-18,15,3341.75,222.78333333333333,15,14,1,0.06666666666666667
2025-12-19,16,3158.91,197.431875,16,15,3,0.1875
2025-12-20,15,1564.3899999999999,104.29266666666666,15,14,2,0.13333333333333333
2025-12-21,17,2753.8100000000004,161.98882352941177,17,17,5,0.29411764705882354
2025-12-22,17,3307.71,194.57117647058823,17,17,2,0.11764705882352941
2025-12-23,22,5650.94,256.86090909090905,22,20,4,0.18181818181818182
2025-12-24,11,4322.260000000001,392.9327272727274,11,11,2,0.18181818181818182
2025-12-25,25,4673.349999999999,186.93399999999997,23,23,5,0.2
2025-12-26,12,1501.3,125.10833333333333,11,12,4,0.3333333333333333
2025-12-27,13,2723.27,209.4823076923077,13,13,4,0.3076923076923077
2025-12-28,14,5469.909999999999,390.70785714285705,14,14,1,0.07142857142857142
2025-12-29,16,3401.7000000000003,212.60625000000002,16,16,3,0.1875
2025-12-30,12,2011.1000000000001,167.59166666666667,12,12,4,0.3333333333333333
2025-12-31,15,3190.17,212.678,15,15,2,0.13333333333333333
2026-01-01,17,4992.84,293.6964705882353,17,16,3,0.17647058823529413
2026-01-02,14,4185.719999999999,298.97999999999996,14,13,2,0.14285714285714285
2026-01-03,15,1899.66,126.644,15,15,2,0.13333333333333333
2026-01-04,13,4088.6600000000003,314.51230769230773,13,13,3,0.23076923076923078
2026-01-05,16,2139.42,133.71375,16,15,1,0.0625
2026-01-06,16,3739.05,233.690625,15,16,5,0.3125
2026-01-07,14,3379.6,241.4,14,13,5,0.35714285714285715
2026-01-08,12,2320.9900000000002,193.41583333333335,12,12,3,0.25
2026-01-09,19,3590.45,188.97105263157894,17,18,1,0.05263157894736842
2026-01-10,13,1888.0100000000002,145.2315384615385,12,13,3,0.23076923076923078
2026-01-11,19,2746.87,144.57210526315788,19,17,0,0.0
2026-01-12,10,793.7299999999999,79.37299999999999,10,10,1,0.1
2026-01-13,14,1478.6499999999999,105.61785714285713,14,14,2,0.14285714285714285
2026-01-14,14,3594.22,256.72999999999996,14,14,2,0.14285714285714285
2026-01-15,22,3435.2400000000002,156.14727272727274,22,21,4,0.18181818181818182
2026-01-16,15,1987.24,132.48266666666666,15,15,3,0.2
2026-01-17,15,1639.4,109.29333333333334,14,15,2,0.13333333333333333
2026-01-18,23,3401.29,147.8821739130435,22,22,4,0.17391304347826086
2026-01-19,11,1156.3,105.11818181818181,11,11,1,0.09090909090909091
2026-01-20,12,1690.3799999999999,140.86499999999998,12,12,2,0.16666666666666666
2026-01-21,15,1607.0699999999997,107.13799999999998,15,15,3,0.2
2026-01-22,15,1701.9900000000002,113.46600000000002,15,15,2,0.13333333333333333
2026-01-23,24,4625.27,192.71958333333336,23,24,2,0.08333333333333333
2026-01-24,12,1686.9199999999996,140.57666666666663,12,12,1,0.08333333333333333
2026-01-25,15,2867.2799999999997,191.152,12,15,0,0.0
2026-01-26,14,1795.1299999999999,128.22357142857143,14,14,2,0.14285714285714285
2026-01-27,10,2335.45,233.545,10,10,1,0.1
2026-01-28,16,2589.42,161.83875,16,15,4,0.25
2026-01-29,6,671.3499999999999,111.89166666666665,6,6,0,0.0
2026-01-30,15,3568.0900000000006,237.8726666666667,14,14,3,0.2
2026-01-31,14,1367.6899999999998,97.69214285714284,14,14,2,0.14285714285714285
2026-02-01,13,2276.97,175.15153846153845,13,13,3,0.23076923076923078
2026-02-02,18,3531.23,196.17944444444444,18,17,2,0.1111111111111111
2026-02-03,13,1744.1799999999998,134.1676923076923,13,12,3,0.23076923076923078
2026-02-04,10,1714.92,171.49200000000002,10,10,3,0.3
2026-02-05,11,1291.23,117.38454545454546,11,11,2,0.18181818181818182
2026-02-06,12,3010.65,250.88750000000002,11,12,4,0.3333333333333333
2026-02-07,19,3026.6699999999996,159.29842105263157,18,19,3,0.15789473684210525
2026-02-08,14,2908.25,207.73214285714286,14,13,2,0.14285714285714285
2026-02-09,13,2463.02,189.46307692307693,13,13,1,0.07692307692307693
2026-02-10,11,1777.12,161.5563636363636,11,11,2,0.18181818181818182
2026-02-11,19,3635.24,191.32842105263157,18,18,5,0.2631578947368421
2026-02-12,9,1139.85,126.64999999999999,9,9,2,0.2222222222222222
2026-02-13,13,3687.119999999999,283.6246153846153,12,13,0,0.0
2026-02-14,11,4216.41,383.31,10,11,2,0.18181818181818182
2026-02-15,10,2113.15,211.315,9,10,4,0.4
2026-02-16,17,3086.58,181.5635294117647,16,16,4,0.23529411764705882
2026-02-17,17,4543.91,267.28882352941173,17,17,6,0.35294117647058826
2026-02-18,19,1901.87,100.09842105263158,19,17,3,0.15789473684210525
2026-02-19,13,2493.1400000000003,191.78000000000003,13,12,1,0.07692307692307693
2026-02-20,11,1259.8999999999999,114.53636363636362,11,11,1,0.09090909090909091
2026-02-21,14,1195.9499999999998,85.42499999999998,14,14,2,0.14285714285714285
2026-02-22,15,1395.52,93.03466666666667,15,14,3,0.2
2026-02-23,13,2034.85,156.52692307692308,12,13,1,0.07692307692307693
2026-02-24,10,3804.68,380.46799999999996,10,10,1,0.1
2026-02-25,17,1901.83,111.87235294117647,17,17,3,0.17647058823529413
2026-02-26,18,3812.8099999999995,211.82277777777776,18,18,4,0.2222222222222222
2026-02-27,12,1186.03,98.83583333333333,11,11,1,0.08333333333333333
2026-02-28,12,1169.98,97.49833333333333,12,12,2,0.16666666666666666
2026-03-01,9,826.8,91.86666666666666,9,9,1,0.1111111111111111
2026-03-02,14,2390.41,170.7435714285714,13,14,3,0.21428571428571427
2026-03-03,15,2360.28,157.352,15,13,2,0.13333333333333333
2026-03-04,5,1741.1399999999999,348.22799999999995,5,5,0,0.0
2026-03-05,12,2554.5899999999997,212.88249999999996,12,10,1,0.08333333333333333
2026-03-06,14,2719.19,194.22785714285715,13,14,1,0.07142857142857142
2026-03-07,12,1566.79,130.56583333333333,12,12,4,0.3333333333333333
2026-03-08,9,991.8100000000001,110.20111111111112,9,9,0,0.0
2026-03-09,17,5891.6900000000005,346.57000000000005,16,15,2,0.11764705882352941
